title,company,location,posting_date,sponsorship,target_company_match,has_grad_req,matched_keywords,salary,tier,fit_score,recommended_resume,first_seen,review_status,coverage_status,canonical_source,canonical_job_key,duplicate_of,official_snapshot_at,source_snapshot_at,source_pipeline,job_url
Software Engineer II,Uber,"Sunnyvale, California, United States",2026-08-28,H-1B Sponsor,Uber,no,Software,"171,000-209,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::9f552fe4e5c5d43b31359660a3dab518,url::https://jobs.uber.com/en/jobs/301386,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://jobs.uber.com/en/jobs/301386/
"Software Engineer III, Google Distributed Cloud AI Storage",Google,"Sunnyvale, California, United States",2026-08-28,H-1B Sponsor,Google,no,"Software, AI","147,000-210,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::eebd42260e8d4cdc640f5312fc117094,url::https://www.google.com/about/careers/applications/jobs/results/81105770019463878-software-engineer-iii-google-distributed-cloud-ai-storage,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://www.google.com/about/careers/applications/jobs/results/81105770019463878-software-engineer-iii-google-distributed-cloud-ai-storage
Software Engineer - Early Career (Front-end),Apple,"Austin, Texas, United States",2026-08-28,H-1B Sponsor,Apple,no,Software,,,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::eac94b978c9c04c77bf514fddda92606,url::https://jobs.apple.com/en-us/details/200680752/software-engineer-early-career-front-end,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://jobs.apple.com/en-us/details/200680752-0157/software-engineer-early-career-front-end?team=SFTWR
Software Developer 3,Oracle,"Seattle, Washington, United States",2026-08-28,H-1B Sponsor,Oracle,no,Software,"89,200-209,500 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::ae17b02dc6890ab6bc1b28a2608afd6d,url::https://eeho.fa.us2.oraclecloud.com/hcmui/candidateexperience/en/sites/jobsearch/job/344132,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://careers.oracle.com/en/sites/jobsearch/job/344132/?lastSelectedFacet=LOCATIONS&selectedLocationsFacet=300000000149325%253B300000000106863
Python AWS Software Engineer III,JPMorgan Chase,"Jersey City, New Jersey, United States",2026-08-28,H-1B Sponsor,J.P. Morgan,no,Software,"137,750-185,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,pending_official_refresh,syncareer,id::syncareer::e70730b3ae4f34c600a808a6fef09b77,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210776424
Software Engineer II (Cloud Platform AWS),The Walt Disney Company,"Santa Monica, California, United States",2026-08-28,H-1B Sponsor,Disney,no,"Software, Platform","117,500-157,500 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,official_unsupported,syncareer,id::syncareer::9f8e0c9822d961a1f3f759688b636742,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://jobs.disneycareers.com/job/santa-monica/software-engineer-ii-cloud-platform-aws/391/99853016432
Software Engineer - Intune,Microsoft,"Cambridge, Massachusetts, United States",2026-08-28,H-1B Sponsor,Microsoft,no,Software,"85,400-168,100 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::b83e44576b85aef24135ac004e1fad6f,url::https://apply.careers.microsoft.com/careers/job/1970393556982924,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://apply.careers.microsoft.com/careers/job/1970393556982924
"Software Engineer III, Infrastructure, Infra Spanner",Google,"Sunnyvale, California, United States",2026-08-28,H-1B Sponsor,Google,no,"Software, Infrastructure","147,000-210,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::c9f7351f92079eaaca895e438238f201,url::https://www.google.com/about/careers/applications/jobs/results/93036433253507782-software-engineer-iii-infrastructure-infra-spanner,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://www.google.com/about/careers/applications/jobs/results/93036433253507782-software-engineer-iii-infrastructure-infra-spanner
Software Engineer - Early Career (Front-end),Apple,"Cupertino, California, United States",2026-08-28,H-1B Sponsor,Apple,no,Software,"129,300-194,700 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::d5aa8ffa4ac0d367bd99bef463266cb0,url::https://jobs.apple.com/en-us/details/200680752/software-engineer-early-career-front-end,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://jobs.apple.com/en-us/details/200680752-0836/software-engineer-early-career-front-end?team=SFTWR
Java Full Stack Software Engineer III - React,JPMorgan Chase,"Tampa, Florida, United States",2026-08-28,H-1B Sponsor,J.P. Morgan,no,"Software, Full Stack",,,,,2026-08-29T18:39:30.328218+00:00,unreviewed,pending_official_refresh,syncareer,id::syncareer::3857dd22f74519d33e27fb126da7dd19,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210785590
Product Software Engineer II (Java/Full Stack/DevOps),The Walt Disney Company,"Glendale, California, United States",2026-08-28,H-1B Sponsor,Disney,no,"Software, Full Stack, DevOps","117,500-157,500 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,official_unsupported,syncareer,id::syncareer::a520f6fb09a740c82ab388adf75278c5,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://jobs.disneycareers.com/job/glendale/product-software-engineer-ii-java-full-stack-devops/391/99853016336
Software Engineer Intune,Microsoft,"Redmond, Washington, United States",2026-08-28,H-1B Sponsor,Microsoft,no,Software,"85,400-168,100 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::d3b7e24f3bd3a39f14676ee2eab72c60,url::https://apply.careers.microsoft.com/careers/job/1970393556982925,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://apply.careers.microsoft.com/careers/job/1970393556982925
"Software Engineer III, Android, Geo",Google,"San Francisco, California, United States",2026-08-28,H-1B Sponsor,Google,no,Software,"147,000-210,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::dc2406a7d93bbca59ffb5a926346e95d,url::https://www.google.com/about/careers/applications/jobs/results/109889747484058310-software-engineer-iii-android-geo,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://www.google.com/about/careers/applications/jobs/results/109889747484058310-software-engineer-iii-android-geo
Software Engineering Systems,Apple,"Cupertino, California, United States",2026-08-28,H-1B Sponsor,Apple,no,Software,"129,300-194,700 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::b42d987e70d4ea3ef27bd725e8468c4b,url::https://jobs.apple.com/en-us/details/200680200/software-engineering-systems,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://jobs.apple.com/en-us/details/200680200-0836/software-engineering-systems?team=HRDWR
Software Engineer (PH),The Walt Disney Company,"Lake Buena Vista, Florida, United States",2026-08-28,H-1B Sponsor,Disney,no,Software,"111,900-150,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,official_unsupported,syncareer,id::syncareer::aa2d8c8e96c3c9ee9b3162b8a2091b04,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://jobs.disneycareers.com/job/lake-buena-vista/software-engineer-ph/391/99853016144
"Software Development Engineer Intern, Annapurna Labs - 2027",Amazon,"Austin, Texas, United States",2026-08-28,H-1B Sponsor,Amazon,yes,Software,"110,500-185,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::321420102df10729f947ebe07fd75f4e,url::https://www.amazon.jobs/en/jobs/10517567/software-development-engineer-intern-annapurna-labs-2027,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://amazon.jobs/en/jobs/10517567/software-development-engineer-intern-annapurna-labs-2027
"Software Engineer III, Infrastructure, YouTube Ads Serving",Google,"Mountain View, California, United States",2026-08-28,H-1B Sponsor,Google,no,"Software, Infrastructure","147,000-210,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::d7c8fb469c1604242e7ddac05a71d810,url::https://www.google.com/about/careers/applications/jobs/results/89159022678024902-software-engineer-iii-infrastructure-youtube-ads-serving,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://www.google.com/about/careers/applications/jobs/results/89159022678024902-software-engineer-iii-infrastructure-youtube-ads-serving
"Software Engineer - UI Rendering, Performance & Power",Apple,"Cupertino, California, United States",2026-08-28,H-1B Sponsor,Apple,no,Software,"150,400-277,600 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::aa5e192790562ff61f2bf145243460e2,url::https://jobs.apple.com/en-us/details/200680644/software-engineer-ui-rendering-performance-power,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://jobs.apple.com/en-us/details/200680644-0836/software-engineer-ui-rendering-performance-power?team=SFTWR
"Software Engineer III, AI/ML",Google,"San Francisco, California, United States",2026-08-28,H-1B Sponsor,Google,no,"Software, AI","147,000-210,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::c9aa2ad0f38ef4e2b138145806ecec70,url::https://www.google.com/about/careers/applications/jobs/results/136557869439820486-software-engineer-iii-ai-ml,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://www.google.com/about/careers/applications/jobs/results/136557869439820486-software-engineer-iii-aiml
"Full-Stack UI Software Engineer - Wallet, Payments & Commerce (WPC)",Apple,"Cupertino, California, United States",2026-08-28,H-1B Sponsor,Apple,no,"Software, Full Stack","150,400-277,600 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::006a2f61ec99457162b4b6408b2653cc,url::https://jobs.apple.com/en-us/details/200680683/full-stack-ui-software-engineer-wallet-payments-commerce-wpc,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://jobs.apple.com/en-us/details/200680683-0836/full-stack-ui-software-engineer-wallet-payments-commerce-wpc?team=SFTWR
"Software Engineer III, AI/ML, gUP Customer Support",Google,"Sunnyvale, California, United States",2026-08-28,H-1B Sponsor,Google,no,"Software, AI","147,000-210,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::65df68a3351c227419c66065e887a62c,url::https://www.google.com/about/careers/applications/jobs/results/116766660139852486-software-engineer-iii-ai-ml-gup-customer-support,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://www.google.com/about/careers/applications/jobs/results/116766660139852486-software-engineer-iii-aiml-gup-customer-support
"Software Engineer III, Infrastructure, AI and Infrastructure",Google,"Kirkland, Washington, United States",2026-08-28,H-1B Sponsor,Google,no,"Software, AI, Infrastructure","147,000-210,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::2a206598552dd69a1317a8348aaee203,url::https://www.google.com/about/careers/applications/jobs/results/88630088865587910-software-engineer-iii-infrastructure-ai-and-infrastructure,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://www.google.com/about/careers/applications/jobs/results/88630088865587910-software-engineer-iii-infrastructure-ai-and-infrastructure
"Software Engineer III, AI/ML GenAI, Google Ads",Google,"Los Angeles, California, United States",2026-08-28,H-1B Sponsor,Google,no,"Software, AI","147,000-210,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::d042d3ff1bbe7ca71e242bf0b3fe199e,url::https://www.google.com/about/careers/applications/jobs/results/72980190111638214-software-engineer-iii-ai-ml-genai-google-ads,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://www.google.com/about/careers/applications/jobs/results/72980190111638214-software-engineer-iii-aiml-genai-google-ads
"Software Engineer, Cloud Bigtable SQL and Analytics",Google,"New York, New York, United States",2026-08-28,H-1B Sponsor,Google,no,Software,"147,000-210,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::1953f17b935df3c2eaed78f3635d5e16,url::https://www.google.com/about/careers/applications/jobs/results/91776684985852614-software-engineer-cloud-bigtable-sql-and-analytics,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://www.google.com/about/careers/applications/jobs/results/91776684985852614-software-engineer-cloud-bigtable-sql-and-analytics
"Device Backend Technician, Quantum AI",Google,"Goleta, California, United States",2026-08-28,H-1B Sponsor,Google,no,"AI, Backend","99,000-140,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,pending_official_refresh,syncareer,id::syncareer::8bf38acaf31f9f2fbe1791f17beea70f,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://www.google.com/about/careers/applications/jobs/results/137844418303402694-device-backend-technician-quantum-ai
"Data Platform SRE, AI & Data Platforms (AiDP)",Apple,"Austin, Texas, United States",2026-08-28,H-1B Sponsor,Apple,no,"AI, Platform",,,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::c453c5dc2c9a7ea6eda4c480ba1b5928,url::https://jobs.apple.com/en-us/details/200680281/data-platform-sre-ai-data-platforms-aidp,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://jobs.apple.com/en-us/details/200680281-0157/data-platform-sre-ai-data-platforms-aidp?team=SFTWR
Research Scientist - Generative AI Graduate (Intelligent Creation) - Global Frontier Tech Recruitment Program - 2027 Start (PhD),TikTok,"San Jose, California, United States",2026-08-28,H-1B Sponsor,ByteDance,no,AI,"162,000-316,800 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,official_unsupported,syncareer,id::syncareer::0c08cc00913f98cb00ff91ed5a524b2b,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://lifeattiktok.com/search/7668206301950642437
Solution Engineer - Cloud & AI Data Platform,Microsoft,United States,2026-08-28,H-1B Sponsor,Microsoft,no,"AI, Platform","86,100-169,800 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::ef0bd044ac2423f9890b4845abfce62f,url::https://apply.careers.microsoft.com/careers/job/1970393556958402,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://apply.careers.microsoft.com/careers/job/1970393556958402
"Applied Scientist, AI Economics (TokenOps, FinOps)",Microsoft,United States,2026-08-28,H-1B Sponsor,Microsoft,no,"AI, Applied Scientist","101,800-207,600 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::acda5b8aad493cea3fafc76e83ab2702,url::https://apply.careers.microsoft.com/careers/job/1970393556979454,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://apply.careers.microsoft.com/careers/job/1970393556979454
Machine Learning Evaluation Engineer,Apple,"Sunnyvale, California, United States",2026-08-28,H-1B Sponsor,Apple,no,Machine Learning,"150,400-277,600 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,covered_unvalidated,official,id::syncareer::770a0473d7c347a381095429f0ec1bee,url::https://jobs.apple.com/en-us/details/200680655/machine-learning-evaluation-engineer,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://jobs.apple.com/en-us/details/200680655-3956/machine-learning-evaluation-engineer?team=HRDWR
Machine Learning Engineer Graduate (Data-Global E-Commerce-Search) - 2027 Start (PhD),TikTok,"Seattle, Washington, United States",2026-08-28,H-1B Sponsor,ByteDance,no,Machine Learning,"153,900-300,960 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,official_unsupported,syncareer,id::syncareer::64e75359070d81d05c032c8d90a001c7,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://lifeattiktok.com/search/7668389759463393589
"Associate Commercial Counsel, Cloud Consulting and Forward Deployed Engineers",Google,"Seattle, Washington, United States",2026-08-28,H-1B Sponsor,Google,no,Forward Deployed,"217,000-314,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,pending_official_refresh,syncareer,id::syncareer::c02abca2e4e6538ce1d3fe4f4292f954,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://www.google.com/about/careers/applications/jobs/results/133113443107381958-associate-commercial-counsel-cloud-consulting-and-forward-deployed-engineers
"J.P. Morgan Wealth Management - Associate, Investment Product and Platform",JPMorgan Chase,"New York, United States",2026-08-28,H-1B Sponsor,J.P. Morgan,no,Platform,"73,000-127,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,pending_official_refresh,syncareer,id::syncareer::5190cab710849ffe9967cc35cc77bb93,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210784833
Data Engineer Graduate (Data Platform Global Live) - 2027 Start,TikTok,"San Jose, California, United States",2026-08-28,H-1B Sponsor,ByteDance,no,"Platform, Data Engineer","128,000-316,800 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,official_unsupported,syncareer,id::syncareer::694252140ed399bd334b9805d5f4beed,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://lifeattiktok.com/search/7678120538997098805
"Engineer, Software",John Deere,"Waterloo, Iowa, United States",2026-08-28,H-1B Sponsor,,no,Software,"86,892-130,332 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::e5072281158e517ce4b9fec0154d1d4f,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://careers.deere.com/careers?domain=johndeere.com&hl=en&triggerGoButton=false&start=0&pid=137483015302&sort_by=relevance
Software Engineer,Checkr,"Denver, Colorado, United States",2026-08-28,H-1B Sponsor,,no,Software,"127,000-176,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::bdb72b13409ef67629db8c8997d02413,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://job-boards.greenhouse.io/checkr/jobs/6917810
"Software Engineer, Platform",Mercor,"New York City, New York, United States",2026-08-28,H-1B Sponsor,,no,"Software, Platform","130,000-500,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::6be3c5b7e779b0ae3e57b2ce77b8000e,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://jobs.ashbyhq.com/mercor/99d667bf-90de-4bc7-88f1-5fca1a3ec01b
"Software Engineer, Sensor Platform",Nuro,"Mountain View, California, United States",2026-08-28,H-1B Sponsor,,no,"Software, Platform","132,300-165,370 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::becb9122c9f41f10bb330e32ceb3ffa7,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://nuro.ai/careersitem?gh_jid=8163179
"Software Engineer, Infrastructure",OpenAI,"San Francisco, California, United States",2026-08-28,H-1B Sponsor,,no,"Software, Infrastructure","210,000-405,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::1b960b0554f63ed20bbf8d4558c991bc,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://jobs.ashbyhq.com/openai/984da843-107f-4ff6-ad27-07a06700e338
Software Engineer 2 - iOS or Web Development,Garmin,"Chanhassen, Minnesota, United States",2026-08-28,H-1B Sponsor,,no,Software,"98,100-119,900 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::8a125309c2dcf0139f8c82f8c8f4cd1b,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://careers.garmin.com/jobs/19740?lang=en-us&previousLocale=en-US
Software Engineer III,Pearson,"Hoboken, New Jersey, United States",2026-08-28,H-1B Sponsor,,no,Software,"100,000-130,000 USD/annual",,,,2026-08-29T18:39:30.328218+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::a00d3473673e0b5f308a735a34e871b3,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://pearson.jobs/hoboken-nj/software-engineer-iii/9CA294EBE7D444FEAB965372F8A58A37/job/
Software Engineer (Mobile Applications),Globus Medical,"Redwood City, California, United States",2026-08-28,H-1B Sponsor,,no,Software,,,,,2026-08-29T18:39:30.328218+00:00,unreviewed,not_dedicated,syncareer,id::syncareer::6820369db3e7e7ee3b5ad7675c672ef9,,2026-08-29T18:37:39.833716+00:00,2026-08-29T18:39:30.328218+00:00,syncareer,https://globusmedical.wd5.myworkdayjobs.com/en-US/GMED_Careers/job/California---Redwood-City/Sr-Software-Engineer--Mobile-Applications-_JR105524
