tier,match_score,score_source,company,title,location,posted_date,recency_bucket,date_confidence,resume_profile_used,referral_name,recommended_action,review_status,coverage_status,canonical_source,canonical_job_key,duplicate_of,official_snapshot_at,source_snapshot_at,official_url,source,source_url
A,88.0,llm,Zoox,Contract Student Worker - Forward Deployed Automation Engineer (40 hrs/wk),"Seattle, WA, US",2026-09-08,newly_discovered,low,resume_swe,,referral_now,unreviewed,not_dedicated,board,id::indeed::in-ff9973eb8ccef0f8,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=ff9973eb8ccef0f8
A,88.0,llm,,Software Engineer - Entry Level (Summer 2027),"Dallas, TX, US",2026-09-08,newly_discovered,low,resume_swe,,referral_now,unreviewed,not_dedicated,board,id::indeed::in-890b8578cc190087,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=890b8578cc190087
A,88.0,llm,BTI Solutions,Korean Bilingual Jr. AI Developer,"Plano, TX, US",2026-09-09,newly_discovered,low,resume_ai,,apply_now,unreviewed,not_dedicated,board,id::indeed::in-6f1da70a3cd36c2b,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=6f1da70a3cd36c2b
A,86.0,llm,Stillwater Insurance,"Java Software Engineer I - Omaha, NE","Omaha, NE, US",2026-09-08,newly_discovered,low,resume_swe,,referral_now,unreviewed,not_dedicated,board,id::indeed::in-59864b9c9b5f368d,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=59864b9c9b5f368d
B,78.0,cached_llm,Vertafore,Software Engineer II,"Denver, CO",2026-09-08,1to3d,low,resume_swe,,apply_now,unreviewed,not_dedicated,board,id::glassdoor::gd-1010256423658,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1010256423658
B,78.0,cached_llm,Vertafore,Software Engineer II,"Denver, CO",2026-09-08,1to3d,low,resume_swe,,apply_now,unreviewed,not_dedicated,board,id::glassdoor::gd-1010256423661,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1010256423661
B,94.0,llm,The RealReal,Artificial Intelligence Accelerator Intern,"San Francisco, CA, US",2026-09-09,newly_discovered,low,resume_ai,,referral_now,unreviewed,not_dedicated,board,id::indeed::in-e5944258f157b901,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=e5944258f157b901
B,91.0,llm,micro1,"Software Engineer, Data Platforms","Remote, US",2026-09-09,newly_discovered,low,resume_ai,,referral_now,unreviewed,not_dedicated,board,id::indeed::in-98bbb89245329280,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=98bbb89245329280
B,88.0,llm,"Lion Business Brokers, Ltd.",AI Product Engineer / Full-Stack Developer,"Bee Cave, TX, US",2026-09-10,newly_discovered,low,resume_ai,,referral_now,unreviewed,not_dedicated,board,id::indeed::in-dcb54623acb5654c,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=dcb54623acb5654c
B,87.0,llm,Vanderbilt University,"Research Engineer, Institute for Software Integrated Systems","Nashville, TN, US",2026-09-08,newly_discovered,low,resume_swe,,referral_now,unreviewed,not_dedicated,board,id::indeed::in-cae2006dbac4b5b2,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=cae2006dbac4b5b2
B,87.0,llm,,Software Engineer Intern,"Menlo Park, CA, US",2026-09-10,newly_discovered,low,resume_ai,,referral_now,unreviewed,not_dedicated,board,id::indeed::in-8570fc8d34e50f7c,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=8570fc8d34e50f7c
B,87.0,llm,KLA,AI Software Engineer|Manufacturing,"Ann Arbor, MI, US",2026-09-09,newly_discovered,low,resume_ai,,referral_now,unreviewed,not_dedicated,board,id::indeed::in-ad19b6154b9730df,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=ad19b6154b9730df
B,87.0,llm,SK hynix memory solutions,Software Engineer Intern,"San Jose, CA, US",2026-09-09,newly_discovered,low,resume_swe,,apply_now,unreviewed,not_dedicated,board,id::indeed::in-a678b99faf8e0694,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=a678b99faf8e0694
B,84.0,llm,AAA Auto Club Enterprises,Associate Data Engineer,"Costa Mesa, CA, US",2026-09-09,newly_discovered,low,resume_swe,,apply_now,unreviewed,not_dedicated,board,id::indeed::in-1c9fbbeafa9180cc,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=1c9fbbeafa9180cc
B,84.0,llm,Micron Technology,New College Grad - IT Software Support Engineer,"Boise, ID, US",2026-09-08,newly_discovered,low,resume_swe,,apply_now,unreviewed,not_dedicated,board,id::indeed::in-97cced84697a486e,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=97cced84697a486e
B,84.0,llm,Vivacity Tech PBC,Junior Data Engineer,"Saint Paul, MN, US",2026-09-09,newly_discovered,low,resume_swe,,referral_now,unreviewed,not_dedicated,board,id::indeed::in-2f7339eb2530700a,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=2f7339eb2530700a
B,84.0,llm,Planview,Software Engineering Intern,"Austin, TX, US",2026-09-09,newly_discovered,low,resume_swe,,apply_now,unreviewed,not_dedicated,board,id::indeed::in-ec526adbd2511004,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=ec526adbd2511004
B,82.0,llm,Optum,Associate Data Engineer,"Eden Prairie, MN, US",2026-09-09,newly_discovered,low,resume_swe,,apply_now,unreviewed,not_dedicated,board,id::indeed::in-e60af316cfb20b16,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=e60af316cfb20b16
B,82.0,llm,Penn State University,Applied AI Engineer - Radiology AI Lab,"University Park, PA, US",2026-09-09,newly_discovered,low,resume_ai,,apply_now,unreviewed,not_dedicated,board,id::indeed::in-d4032c67184d212c,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=d4032c67184d212c
B,82.0,llm,The Cigna Group,"Technology Development Program (TECDP) - Software Engineering Track - Start Date: July 12, 2027","Morris Plains, NJ, US",2026-09-08,newly_discovered,low,resume_swe,,referral_now,unreviewed,not_dedicated,board,id::indeed::in-c69cfe4fea192791,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=c69cfe4fea192791
B,82.0,llm,BAE Systems USA,Entry Level Software Engineer (Hybrid),"Rome, NY, US",2026-09-09,newly_discovered,low,resume_swe,,apply_now,unreviewed,not_dedicated,board,id::indeed::in-ba58af461a6487f9,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=ba58af461a6487f9
B,82.0,llm,Verisk,Full Stack SDE II,"Boston, MA, US",2026-09-09,newly_discovered,low,resume_swe,,apply_now,unreviewed,not_dedicated,board,id::indeed::in-04d41f3bbe5da13f,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=04d41f3bbe5da13f
B,82.0,llm,Ignite Insurance Systems,Full Stack SDE II,"Boston, MA, US",2026-09-09,newly_discovered,low,resume_swe,,apply_now,unreviewed,not_dedicated,board,id::indeed::in-baf40e3c8107974c,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=baf40e3c8107974c
B,80.0,llm,Fast Pace Health,Software Engineer,"Franklin, TN, US",2026-09-08,newly_discovered,low,resume_swe,,apply_now,unreviewed,not_dedicated,board,id::indeed::in-37e8e407e2dcb23c,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=37e8e407e2dcb23c
B,78.0,llm,"Alkira, Inc.",Software Engineer - UI Developer,"San Jose, CA",2026-09-11,newly_discovered,low,resume_swe,,apply_now,unreviewed,not_dedicated,board,id::linkedin::4466027647,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,linkedin,https://www.linkedin.com/jobs/view/software-engineer-ui-developer-at-alkira-inc-4466027647
B,76.0,llm,Cambia Health Solutions,Software Development Engineer I – III,"Salt Lake City, UT, US",2026-09-09,newly_discovered,low,resume_swe,,apply_now,unreviewed,not_dedicated,board,id::indeed::in-b5099641a9af3c93,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=b5099641a9af3c93
B,76.0,llm,"Mobomo, LLC",Front End Engineer,"Remote, US",2026-09-09,newly_discovered,low,resume_swe,,apply_now,unreviewed,not_dedicated,board,id::indeed::in-e47b07bd6e451397,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=e47b07bd6e451397
B,76.0,llm,Evans General Contractors,Junior Business Automation Engineer,"Alpharetta, GA, US",2026-09-08,newly_discovered,low,resume_swe,,apply_now,unreviewed,not_dedicated,board,id::indeed::in-3c1d07da6179c87a,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=3c1d07da6179c87a
B,75.0,llm,Microsoft,Software Engineer,"Redmond, WA, US",2026-09-03,newly_discovered,low,resume_swe,Microsoft,apply_now,unreviewed,pending_official_refresh,board,id::indeed::in-39980b58238349d9,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=39980b58238349d9
B,75.0,llm,Microsoft,Software Engineer II,"Redmond, WA, US",2026-09-03,newly_discovered,low,resume_swe,Microsoft,apply_now,unreviewed,pending_official_refresh,board,id::indeed::in-5753875b2d44c209,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=5753875b2d44c209
B,75.0,rule_fallback,General Atomics Aeronautical Systems,Associate Full Stack Software Developer,"Poway, CA",2026-09-10,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4465858302,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,linkedin,https://www.linkedin.com/jobs/view/associate-full-stack-software-developer-at-general-atomics-aeronautical-systems-4465858302
B,75.0,rule_fallback,GlobalSource IT,Full Stack / Application Developer,"Glendale, AZ",2026-09-10,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4465884206,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,linkedin,https://www.linkedin.com/jobs/view/full-stack-application-developer-at-globalsource-it-4465884206
B,75.0,rule_fallback,Nelnet,IT Full-Stack Developer - Velocity,"Centennial, CO",2026-09-11,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4464827889,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,linkedin,https://www.linkedin.com/jobs/view/it-full-stack-developer-velocity-at-nelnet-4464827889
B,75.0,rule_fallback,Tata Consultancy Services,Java Full Stack developer,"Plano, TX",2026-09-10,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4464807229,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,linkedin,https://www.linkedin.com/jobs/view/java-full-stack-developer-at-tata-consultancy-services-4464807229
B,75.0,rule_fallback,U.S. Bank,Software Engineer 2 - Mobile Developer (iOS & Android),"Atlanta, GA",2026-09-10,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4446529454,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,linkedin,https://www.linkedin.com/jobs/view/software-engineer-2-mobile-developer-ios-android-at-u-s-bank-4446529454
B,75.0,rule_fallback,U.S. Bank,Software engineer 2 (Java Developer),"Atlanta, GA",2026-09-10,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4446528448,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,linkedin,https://www.linkedin.com/jobs/view/software-engineer-2-java-developer-at-u-s-bank-4446528448
B,75.0,rule_fallback,Vastian,"Junior Full Stack Web Developer: C#, ASP.NET (SaaS)","Lawrenceville, GA",2026-09-10,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4464531560,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,linkedin,https://www.linkedin.com/jobs/view/junior-full-stack-web-developer-c%23-asp-net-saas-at-vastian-4464531560
B,75.0,rule_fallback,Leadervest,Forward Deployed AI Engineer,San Francisco Bay Area,2026-09-10,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4452893468,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,linkedin,https://www.linkedin.com/jobs/view/forward-deployed-ai-engineer-at-leadervest-4452893468
B,75.0,rule_fallback,MaxIT Consulting - Max Corporate Group,Forward Deployed AI Engineer – Agent Systems,"San Francisco, CA",2026-09-10,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4464187714,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,linkedin,https://www.linkedin.com/jobs/view/forward-deployed-ai-engineer-%E2%80%93-agent-systems-at-maxit-consulting-max-corporate-group-4464187714
B,75.0,rule_fallback,NewRocket,Forward Deployed AI Engineer-Anthropic-US West,"Denver, CO",2026-09-10,newly_discovered,low,resume_swe,,apply_if_time,unreviewed,not_dedicated,board,id::linkedin::4465829992,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,linkedin,https://www.linkedin.com/jobs/view/forward-deployed-ai-engineer-anthropic-us-west-at-newrocket-4465829992
B,74.0,llm,State of Idaho,IT SOFTWARE ENGINEER 2,"Boise, ID, US",2026-09-09,newly_discovered,low,resume_swe,,apply_now,unreviewed,not_dedicated,board,id::indeed::in-c030169b1f9c57dc,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=c030169b1f9c57dc
B,74.0,llm,Mass General Brigham,Data Engineer,"Somerville, MA, US",2026-09-09,newly_discovered,low,resume_swe,,apply_now,unreviewed,not_dedicated,board,id::indeed::in-8f5f05e5a352797a,,2026-09-11T00:25:25.178379+00:00,2026-09-11T05:05:58.910117+00:00,,indeed,https://www.indeed.com/viewjob?jk=8f5f05e5a352797a
